,年化收益(%),年化波动(%),偏度,峰度
工商银行,43.83,20.33,-0.243,1.489
建设银行,36.34,20.72,-0.25,2.434
农业银行,45.08,21.26,-0.511,1.664
招商银行,43.3,24.69,0.232,3.842
兴业银行,33.83,21.57,-0.045,3.501
平安银行,35.06,24.89,0.8,7.34
中国平安,36.63,29.02,0.662,6.589
中信证券,42.53,34.96,1.194,6.184
中国人寿,44.14,35.39,0.416,5.291
万科A,-35.04,45.66,0.749,2.487
保利发展,-1.41,42.79,0.632,3.153
贵州茅台,-7.08,27.14,1.174,7.497
五粮液,6.87,34.47,0.936,6.175
伊利股份,19.5,26.33,0.826,7.005
海天味业,23.94,33.24,0.815,5.842
恒瑞医药,3.83,33.18,0.638,3.15
药明康德,-23.3,48.48,0.013,2.404
迈瑞医疗,-11.77,35.89,1.178,6.441
宁德时代,56.97,43.56,1.006,8.337
比亚迪,41.39,33.73,0.566,1.753
海康威视,-7.15,27.77,0.489,3.747
立讯精密,19.79,41.23,0.111,0.901
中国石油,28.82,33.74,0.244,4.097
中国神华,36.2,27.22,0.265,0.57
紫金矿业,21.86,34.17,-0.35,0.298
三一重工,20.34,29.31,0.103,1.909
中国中免,-16.84,41.81,1.001,3.407
美的集团,38.07,26.48,0.095,1.335
中国移动,23.45,21.53,0.194,1.118
中兴通讯,50.22,42.77,0.944,2.212
沪深300指数,14.96,20.46,0.825,7.694
中证500指数,5.09,28.51,1.023,5.359
