strategy,raw_p,adjusted_p,significant
★社区BL-RP,0.4327,1.0,False
网络正则化RP,0.4477,1.0,False
层次化RP(HRP),0.4945,1.0,False
反中心性(规则1),0.4977,1.0,False
风险平价(RP),0.5028,1.0,False
◆图过滤RP,0.5063,1.0,False
◆最大分散化(MaxDiv),0.5144,1.0,False
★去噪风险平价,0.5168,1.0,False
PageRank(规则3),0.5212,1.0,False
均值方差(MV),0.5416,1.0,False
★网络增强BL,0.5465,1.0,False
◆最小方差(MinVar),0.5467,1.0,False
BL无观点,0.5526,1.0,False
◆网络约束MinVar,0.5586,1.0,False
◆社区MinVar,0.584,1.0,False
直接中心性(规则2),0.6145,1.0,False
◆拉普拉斯MV,0.6868,1.0,False
BL动量观点,0.9156,1.0,False
◆图平滑动量BL,0.9285,1.0,False
